"no";"nik";"tanggal";"waktu";"event";"status"
"26";"P842100083";"2022-03-28";"07:28:26";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"27";"P821900034";"2022-03-28";"13:58:07";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"28";"K772107962";"2022-03-28";"14:08:41";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"29";"P882000053";"2022-03-28";"14:40:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"30";"P841900002";"2022-03-28";"15:10:45";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"31";"P771900014";"2022-03-28";"15:21:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"32";"P80064";"2022-03-28";"15:37:37";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"33";"P802000051";"2022-03-28";"15:49:53";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"34";"K832107962";"2022-03-28";"16:21:27";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"35";"K992107962";"2022-03-28";"16:25:45";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"36";"P782000065";"2022-03-28";"16:37:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"37";"K932000046";"2022-03-28";"16:59:17";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"38";"K972207963";"2022-03-28";"17:11:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"39";"K912207963";"2022-03-28";"17:19:05";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"40";"P861900044";"2022-03-28";"17:22:44";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"41";"K822010000";"2022-03-28";"18:12:26";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"42";"K872107936";"2022-03-28";"18:15:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"43";"P721900032";"2022-03-28";"18:31:16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"44";"P801900038";"2022-03-28";"19:38:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"45";"P812000060";"2022-03-28";"19:43:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"46";"P802100079";"2022-03-28";"20:48:12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"47";"P672000062";"2022-03-28";"21:03:00";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"48";"K942107962";"2022-03-28";"22:07:32";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"49";"K932207962";"2022-03-28";"22:08:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"50";"K982109238";"2022-03-28";"22:09:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"51";"K872207963";"2022-03-28";"22:09:58";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"52";"K912107963";"2022-03-28";"22:10:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"53";"K932109238";"2022-03-28";"22:10:21";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"54";"K782009238";"2022-03-28";"22:11:27";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"55";"K812107962";"2022-03-28";"22:12:12";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"56";"K822000007";"2022-03-28";"22:12:32";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"57";"K862207962";"2022-03-28";"22:13:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"58";"K932107963";"2022-03-28";"22:13:50";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"59";"P862000064";"2022-03-28";"22:15:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"60";"P811900022";"2022-03-28";"22:15:55";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"61";"K902107963";"2022-03-28";"22:19:02";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"62";"P77267";"2022-03-28";"22:19:57";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"63";"P911900048";"2022-03-28";"22:21:20";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"64";"K872207962";"2022-03-28";"22:25:48";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"65";"P721900016";"2022-03-28";"22:27:30";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"66";"K862108999";"2022-03-28";"22:28:39";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"67";"P80906";"2022-03-28";"22:54:16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"68";"P721900028";"2022-03-28";"22:54:52";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"69";"P842000072";"2022-03-28";"22:55:11";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"70";"P80021";"2022-03-28";"22:55:39";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"71";"P891900050";"2022-03-28";"22:56:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"72";"P78622";"2022-03-28";"22:56:19";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"73";"P741900033";"2022-03-28";"22:57:52";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"74";"P922100077";"2022-03-28";"22:58:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"75";"P881900005";"2022-03-28";"23:02:09";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"76";"P791900025";"2022-03-28";"23:03:24";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"77";"P78581";"2022-03-28";"23:11:14";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"78";"P932000054";"2022-03-28";"23:12:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"79";"P772000061";"2022-03-28";"23:13:23";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"80";"K862207962";"2022-03-29";"01:40:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"81";"P841900002";"2022-03-29";"06:04:36";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"82";"P721900032";"2022-03-29";"06:36:02";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"83";"P772000061";"2022-03-29";"07:02:29";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"84";"K992107962";"2022-03-29";"07:11:13";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"85";"P802100079";"2022-03-29";"07:14:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"86";"P911900048";"2022-03-29";"07:16:03";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"87";"p812000060";"2022-03-29";"07:16:08";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"88";"K872207962";"2022-03-29";"07:16:45";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"89";"P721900016";"2022-03-29";"07:16:51";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"90";"P801900038";"2022-03-29";"07:17:01";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"91";"K872107936";"2022-03-29";"07:17:33";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"92";"P672000062";"2022-03-29";"07:17:51";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"93";"P861900044";"2022-03-29";"07:18:06";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"94";"P842000072";"2022-03-29";"07:19:06";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"95";"P842100083";"2022-03-29";"07:19:16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"96";"K812107962";"2022-03-29";"07:19:18";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"97";"K862108999";"2022-03-29";"07:19:50";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"98";"P862000064";"2022-03-29";"07:21:08";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"99";"K822000007";"2022-03-29";"07:21:08";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"100";"K772107962";"2022-03-29";"07:21:15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"101";"K902107963";"2022-03-29";"07:21:44";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
"102";"K972207963";"2022-03-29";"07:21:46";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Hadir"
