"no";"nik";"tanggal";"waktu";"event";"status"
"3";"P881900005";"2022-03-28";"12:22:22";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"4";"P80064";"2022-03-28";"12:23:17";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"5";"P791900025";"2022-03-28";"12:23:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"6";"K872207963";"2022-03-28";"12:24:10";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"7";"K812107962";"2022-03-28";"12:24:43";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"8";"K902107963";"2022-03-28";"12:25:24";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"9";"P821900034";"2022-03-28";"12:25:47";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"10";"P842000072";"2022-03-28";"12:49:18";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"11";"P932000054";"2022-03-28";"12:49:42";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"12";"P891900050";"2022-03-28";"12:50:05";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"13";"P80906";"2022-03-28";"13:41:01";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"14";"P721900032";"2022-03-28";"13:48:35";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"15";"K932107963";"2022-03-28";"15:48:40";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"16";"P861900044";"2022-03-28";"17:23:17";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"17";"K822010000";"2022-03-28";"18:13:16";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"18";"K942107962";"2022-03-28";"22:07:59";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"19";"K982109238";"2022-03-28";"22:09:52";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"20";"K932109238";"2022-03-28";"22:10:50";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"21";"P862000064";"2022-03-28";"22:16:48";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"22";"P811900022";"2022-03-28";"22:17:15";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"23";"P882000053";"2022-03-28";"22:35:54";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
"24";"P842100083";"2022-03-29";"17:47:34";"Rakernas PT PESONNA OPTIMA JASA Tahun 2022";"Sudah Ambil"
